Daylight temperature [K],Night temperature [K],Heater power [W],Radiator Surface Area [m²],Emmissivity [-],Absorptivity [-]
288.87,288.46,0,9.4,0.14,0.12
288.87,288.46,5,9.4,0.14,0.12
288.87,288.46,10,9.4,0.14,0.12
288.87,288.46,15,9.4,0.14,0.12
288.87,288.46,20,9.4,0.14,0.12
288.87,288.46,25,9.4,0.14,0.12
288.87,288.46,30,9.4,0.14,0.12
288.87,288.46,35,9.4,0.14,0.12
288.46,288.46,0,9.6,0.14,0.12
288.46,288.46,5,9.6,0.14,0.12
288.46,288.46,10,9.6,0.14,0.12
288.46,288.46,15,9.6,0.14,0.12
288.46,288.46,20,9.6,0.14,0.12
288.46,288.46,25,9.6,0.14,0.12
288.46,288.46,30,9.6,0.14,0.12
288.46,288.46,35,9.6,0.14,0.12
288.05,288.46,0,9.8,0.14,0.12
288.05,288.46,5,9.8,0.14,0.12
288.05,288.46,10,9.8,0.14,0.12
288.05,288.46,15,9.8,0.14,0.12
288.05,288.46,20,9.8,0.14,0.12
288.05,288.46,25,9.8,0.14,0.12
288.05,288.46,30,9.8,0.14,0.12
288.05,288.46,35,9.8,0.14,0.12
288.56,288.46,0,6.0,0.14,0.08
288.56,288.46,5,6.0,0.14,0.08
288.56,288.46,10,6.0,0.14,0.08
288.56,288.46,15,6.0,0.14,0.08
288.56,288.46,20,6.0,0.14,0.08
288.56,288.46,25,6.0,0.14,0.08
288.56,288.46,30,6.0,0.14,0.08
288.56,288.46,35,6.0,0.14,0.08
287.97,288.46,0,6.2,0.14,0.08
287.97,288.46,5,6.2,0.14,0.08
287.97,288.46,10,6.2,0.14,0.08
287.97,288.46,15,6.2,0.14,0.08
287.97,288.46,20,6.2,0.14,0.08
287.97,288.46,25,6.2,0.14,0.08
287.97,288.46,30,6.2,0.14,0.08
287.97,288.46,35,6.2,0.14,0.08
287.41,288.46,0,6.4,0.14,0.08
287.41,288.46,5,6.4,0.14,0.08
287.41,288.46,10,6.4,0.14,0.08
287.41,288.46,15,6.4,0.14,0.08
287.41,288.46,20,6.4,0.14,0.08
287.41,288.46,25,6.4,0.14,0.08
287.41,288.46,30,6.4,0.14,0.08
287.41,288.46,35,6.4,0.14,0.08
288.95,288.46,0,5.0,0.14,0.07
288.95,288.46,5,5.0,0.14,0.07
288.95,288.46,10,5.0,0.14,0.07
288.95,288.46,15,5.0,0.14,0.07
288.95,288.46,20,5.0,0.14,0.07
288.95,288.46,25,5.0,0.14,0.07
288.95,288.46,30,5.0,0.14,0.07
288.95,288.46,35,5.0,0.14,0.07
288.27,288.46,0,5.2,0.14,0.07
288.27,288.46,5,5.2,0.14,0.07
288.27,288.46,10,5.2,0.14,0.07
288.27,288.46,15,5.2,0.14,0.07
288.27,288.46,20,5.2,0.14,0.07
288.27,288.46,25,5.2,0.14,0.07
288.27,288.46,30,5.2,0.14,0.07
288.27,288.46,35,5.2,0.14,0.07
287.62,288.46,0,5.4,0.14,0.07
287.62,288.46,5,5.4,0.14,0.07
287.62,288.46,10,5.4,0.14,0.07
287.62,288.46,15,5.4,0.14,0.07
287.62,288.46,20,5.4,0.14,0.07
287.62,288.46,25,5.4,0.14,0.07
287.62,288.46,30,5.4,0.14,0.07
287.62,288.46,35,5.4,0.14,0.07
